decade,genre,titleCount,totalVotes
1890,Romance,1,236.0
1900,Drama,20,1544.0
1900,Adventure,3,1182.0
1900,Action,2,1076.0
1900,Comedy,6,142.0
1900,Fantasy,2,123.0
1900,Romance,1,23.0
1900,Horror,1,18.0
1910,Drama,1322,222491.0
1910,Romance,220,53195.0
1910,Comedy,275,47851.0
1910,Adventure,326,43574.0
1910,Crime,142,32551.0
1910,Fantasy,51,20035.0
1910,Action,116,18999.0
1910,Horror,63,16295.0
1910,Mystery,54,8266.0
1910,Sci-Fi,25,5212.0
1910,Thriller,34,2153.0
1910,Animation,4,78.0
1920,Drama,2536,1493791.0
1920,Comedy,820,821567.0
1920,Romance,805,613930.0
1920,Adventure,768,381760.0
1920,Horror,92,381102.0
1920,Action,414,296612.0
1920,Fantasy,77,244743.0
1920,Thriller,58,216756.0
1920,Sci-Fi,27,212503.0
1920,Mystery,110,158300.0
1920,Crime,288,116411.0
1920,Animation,7,8030.0
1930,Drama,5325,4252903.0
1930,Romance,2206,2670844.0
1930,Comedy,3131,2535097.0
1930,Adventure,806,1412848.0
1930,Crime,1337,1275835.0
1930,Mystery,566,747795.0
1930,Fantasy,101,715317.0
1930,Horror,142,698677.0
1930,Thriller,137,401050.0
1930,Action,657,335531.0
1930,Sci-Fi,58,283584.0
1930,Animation,17,246582.0
1940,Drama,5477,9077201.0
1940,Romance,1616,2996468.0
1940,Comedy,2980,2599740.0
1940,Crime,1183,2323164.0
1940,Mystery,504,1970877.0
1940,Adventure,773,1242570.0
1940,Fantasy,191,1148527.0
1940,Animation,47,690439.0
1940,Horror,193,469748.0
1940,Action,511,445191.0
1940,Thriller,214,410663.0
1940,Sci-Fi,51,76499.0
1950,Drama,8237,13669642.0
1950,Crime,1819,4223600.0
1950,Romance,2083,3976088.0
1950,Comedy,4107,3562254.0
1950,Adventure,1329,3108335.0
1950,Mystery,443,2710924.0
1950,Thriller,469,2116865.0
1950,Horror,339,1226778.0
1950,Action,782,1102071.0
1950,Sci-Fi,271,1063695.0
1950,Fantasy,385,929962.0
1950,Animation,102,920966.0
1960,Drama,10256,16493875.0
1960,Adventure,2195,7355767.0
1960,Comedy,5514,7195432.0
1960,Crime,2392,3577822.0
1960,Thriller,891,3536378.0
1960,Romance,2576,3498320.0
1960,Action,1825,3447184.0
1960,Horror,728,3039156.0
1960,Mystery,692,2386885.0
1960,Sci-Fi,399,1840627.0
1960,Fantasy,594,1029883.0
1960,Animation,375,1009283.0
1970,Drama,12719,24620545.0
1970,Crime,2942,11641545.0
1970,Comedy,6651,10649161.0
1970,Adventure,2424,8277269.0
1970,Action,3331,7256660.0
1970,Horror,1378,6935840.0
1970,Thriller,1395,5567190.0
1970,Sci-Fi,505,4889945.0
1970,Mystery,866,3881795.0
1970,Fantasy,806,3297825.0
1970,Romance,2458,3083576.0
1970,Animation,643,1058134.0
1980,Drama,14258,34560558.0
1980,Comedy,8016,31087291.0
1980,Adventure,2258,25543479.0
1980,Action,4280,24979970.0
1980,Horror,1767,12723086.0
1980,Crime,2832,12520458.0
1980,Sci-Fi,816,11235874.0
1980,Thriller,1802,9782185.0
1980,Fantasy,1148,8946429.0
1980,Romance,2820,7403989.0
1980,Animation,1174,4719048.0
1980,Mystery,950,4583834.0
1990,Drama,16050,105132195.0
1990,Comedy,10695,61976625.0
1990,Crime,3656,51692542.0
1990,Action,5162,45580097.0
1990,Adventure,2319,37186927.0
1990,Romance,4287,28521859.0
1990,Thriller,2693,26948380.0
1990,Sci-Fi,939,18318006.0
1990,Mystery,1160,17787789.0
1990,Fantasy,1375,16018956.0
1990,Animation,1879,14311822.0
1990,Horror,1645,13200660.0
2000,Drama,27616,191292783.0
2000,Comedy,18954,118352769.0
2000,Action,6277,109108314.0
2000,Adventure,3597,95201334.0
2000,Crime,5074,77475857.0
2000,Thriller,4450,64742699.0
2000,Romance,7588,53816347.0
2000,Mystery,2407,45374615.0
2000,Fantasy,2106,41411411.0
2000,Sci-Fi,1392,39268900.0
2000,Horror,3889,31451808.0
2000,Animation,3548,29524099.0
2010,Drama,51559,268368054.0
2010,Action,11919,188159900.0
2010,Comedy,35362,145487011.0
2010,Adventure,7564,142617738.0
2010,Crime,9668,96768319.0
2010,Thriller,10951,81265655.0
2010,Sci-Fi,3599,74588375.0
2010,Mystery,5882,57793497.0
2010,Horror,10654,49467605.0
2010,Romance,11864,47913884.0
2010,Fantasy,4477,45242722.0
2010,Animation,6472,36765856.0
2020,Drama,38356,112655332.0
2020,Action,8498,76692224.0
2020,Comedy,20777,58501142.0
2020,Adventure,4952,53783432.0
2020,Crime,7909,41036629.0
2020,Thriller,9875,36566059.0
2020,Horror,8108,26336557.0
2020,Mystery,4719,25491422.0
2020,Romance,9269,17512052.0
2020,Fantasy,3384,17223781.0
2020,Animation,4732,14874525.0
2020,Sci-Fi,2470,14496976.0
