genre,titleCount,totalVotes,weightedRating
War,7981,30372413.0,7.658
Western,5423,14522130.0,7.587
Biography,13185,88558381.0,7.516
History,14583,44125649.0,7.492
Film-Noir,875,4154248.0,7.48
Short,1594,515470.0,7.429
Documentary,74150,25471220.0,7.403
Drama,195975,776720179.0,7.368
Animation,19356,118835983.0,7.352
Crime,39690,304391617.0,7.329
News,2957,826926.0,7.243
Adventure,29579,376821572.0,7.15
Sport,7499,24175123.0,7.146
Music,12679,28415818.0,7.118
Fantasy,14859,138022507.0,7.102
Sci-Fi,10618,168125405.0,7.101
Mystery,18561,165648571.0,7.1
Thriller,33365,237316578.0,6.985
Talk-Show,5795,1436512.0,6.966
Romance,48390,173766104.0,6.954
Musical,7796,12873444.0,6.946
Action,44210,434817009.0,6.919
Comedy,118291,444619028.0,6.913
Family,22296,62762358.0,6.897
Game-Show,4537,1538210.0,6.893
Reality-TV,12496,3387420.0,6.646
Horror,29325,147403657.0,6.467
