tconst,primaryTitle,titleType,startYear,genres,averageRating,numVotes,category
tt0903747,Breaking Bad,tvSeries,2008,"Crime,Drama,Thriller",9.5,2472774,mainstream
tt0185906,Band of Brothers,tvMiniSeries,2001,"Action,Drama,History",9.4,585514,mainstream
tt0795176,Planet Earth,tvMiniSeries,2006,"Documentary,Family",9.4,233703,mainstream
tt5491994,Planet Earth II,tvMiniSeries,2016,Documentary,9.4,173234,mainstream
tt0111161,The Shawshank Redemption,movie,1994,Drama,9.3,3151596,mainstream
tt7366338,Chernobyl,tvMiniSeries,2019,"Drama,History,Thriller",9.3,1009880,mainstream
tt0417299,Avatar: The Last Airbender,tvSeries,2005,"Action,Adventure,Animation",9.3,430925,mainstream
tt0306414,The Wire,tvSeries,2002,"Crime,Drama,Thriller",9.3,424318,mainstream
tt0944947,Game of Thrones,tvSeries,2011,"Action,Adventure,Drama",9.2,2533414,mainstream
tt0068646,The Godfather,movie,1972,"Crime,Drama",9.2,2199293,mainstream
tt0141842,The Sopranos,tvSeries,1999,"Crime,Drama",9.2,564144,mainstream
tt12392504,Scam 1992: The Harshad Mehta Story,tvMiniSeries,2020,"Biography,Crime,Drama",9.2,171483,mainstream
tt2395695,Cosmos: A Spacetime Odyssey,tvMiniSeries,2014,Documentary,9.2,139217,mainstream
tt0468569,The Dark Knight,movie,2008,"Action,Crime,Drama",9.1,3127472,mainstream
tt2560140,Attack on Titan,tvSeries,2013,"Action,Adventure,Animation",9.1,683436,mainstream
tt14392248,Aspirants,tvSeries,2021,Drama,9.1,317473,mainstream
tt1355642,Fullmetal Alchemist: Brotherhood,tvSeries,2009,"Action,Adventure,Animation",9.1,241445,mainstream
tt0167260,The Lord of the Rings: The Return of the King,movie,2003,"Adventure,Drama,Fantasy",9.0,2140615,mainstream
tt0108052,Schindler's List,movie,1993,"Biography,Drama,History",9.0,1571014,mainstream
tt0071562,The Godfather Part II,movie,1974,"Crime,Drama",9.0,1478410,mainstream
tt1475582,Sherlock,tvSeries,2010,"Crime,Drama,Mystery",9.0,1078004,mainstream
tt0050083,12 Angry Men,movie,1957,"Crime,Drama",9.0,971433,mainstream
tt0386676,The Office,tvSeries,2005,Comedy,9.0,817006,mainstream
tt3032476,Better Call Saul,tvSeries,2015,"Crime,Drama",9.0,801057,mainstream
tt2861424,Rick and Morty,tvSeries,2013,"Adventure,Animation,Comedy",9.0,684334,mainstream
tt11126994,Arcane,tvSeries,2021,"Action,Adventure,Animation",9.0,432419,mainstream
tt0388629,One Piece,tvSeries,1999,"Action,Adventure,Animation",9.0,341394,mainstream
tt2098220,Hunter x Hunter,tvSeries,2011,"Action,Adventure,Animation",9.0,186630,mainstream
tt8420184,The Last Dance,tvMiniSeries,2020,"Biography,Documentary,History",9.0,177587,mainstream
tt0103359,Batman: The Animated Series,tvSeries,1992,"Action,Adventure,Animation",9.0,135328,mainstream
tt33043892,Dexter: Resurrection,tvSeries,2025,"Crime,Drama,Thriller",9.0,126566,mainstream
tt12004706,Panchayat,tvSeries,2020,"Comedy,Drama",9.0,115492,mainstream
