tconst,primaryTitle,titleType,startYear,genres,numVotesCurrent,numVotesPrevious,deltaVotes,pctChange
tt37287335,Obsession,movie,2025,"Horror,Romance,Thriller",232313,201518,30795,15.28
tt12042730,Project Hail Mary,movie,2026,"Adventure,Comedy,Drama",434768,412974,21794,5.28
tt27548557,Dhamaal 4,movie,2026,"Action,Adventure,Comedy",32338,10640,21698,203.93
tt26657236,Backrooms,movie,2026,"Horror,Sci-Fi,Thriller",124285,104647,19638,18.77
tt32565993,The Sheep Detectives,movie,2026,"Comedy,Family,Mystery",73484,62098,11386,18.34
tt31170389,Evil Dead Burn,movie,2026,"Fantasy,Horror,Mystery",15759,6872,8887,129.32
tt34771210,I Will Find You,tvMiniSeries,2026,"Crime,Drama,Mystery",41477,34984,6493,18.56
tt14173636,The Invite,movie,2026,"Comedy,Drama,Romance",13736,7519,6217,82.68
tt29355505,Toy Story 5,movie,2026,"Adventure,Animation,Comedy",50144,44550,5594,12.56
tt11378946,Michael,movie,2026,"Biography,Drama,History",152577,147498,5079,3.44
tt0816692,Interstellar,movie,2014,"Adventure,Drama,Sci-Fi",2559737,2554663,5074,0.2
tt32612507,Lee Cronin's The Mummy,movie,2026,Horror,56464,51630,4834,9.36
tt32278481,Enola Holmes 3,movie,2026,"Action,Adventure,Comedy",20353,15784,4569,28.95
tt33332385,Widow's Bay,tvSeries,2026,"Comedy,Drama,Horror",51482,46922,4560,9.72
tt28089784,Punjab '95,movie,2026,"Biography,Crime,Drama",104449,100014,4435,4.43
tt33071426,The Drama,movie,2026,"Comedy,Drama,Romance",87319,83086,4233,5.09
tt10375624,Voicemails for Isabelle,movie,2026,"Comedy,Drama,Romance",37164,32935,4229,12.84
tt33311069,The Furious,movie,2025,"Action,Crime,Thriller",16136,12041,4095,34.01
tt1757678,Avatar: Fire and Ash,movie,2025,"Action,Adventure,Drama",191326,187317,4009,2.14
tt8814476,Supergirl,movie,2026,"Action,Adventure,Drama",51353,47391,3962,8.36
tt33978029,Ready or Not 2: Here I Come,movie,2026,"Comedy,Horror,Thriller",58947,55039,3908,7.1
tt33612209,The Devil Wears Prada 2,movie,2026,"Comedy,Drama",73877,70205,3672,5.23
tt10374610,The Long Walk,movie,2025,"Horror,Thriller",131447,127816,3631,2.84
tt0332452,Troy,movie,2004,"Action,Adventure",623800,620182,3618,0.58
tt27543632,The Housemaid,movie,2025,"Drama,Mystery,Thriller",174617,171174,3443,2.01
tt0903747,Breaking Bad,tvSeries,2008,"Crime,Drama,Thriller",2644068,2640652,3416,0.13
