seriesTconst,seriesTitle,seasonNumber,avgRating,totalVotes,episodeCount
tt0944947,Game of Thrones,1,8.98,600472.0,10
tt0944947,Game of Thrones,2,8.8,499011.0,10
tt0944947,Game of Thrones,3,8.93,600289.0,10
tt0944947,Game of Thrones,4,9.24,655455.0,10
tt0944947,Game of Thrones,5,8.7,572669.0,10
tt0944947,Game of Thrones,6,8.98,1007988.0,10
tt0944947,Game of Thrones,7,9.029,544228.0,7
tt0944947,Game of Thrones,8,6.4,1280881.0,6
tt0903747,Breaking Bad,1,8.686,423264.0,7
tt0903747,Breaking Bad,2,8.785,652737.0,13
tt0903747,Breaking Bad,3,8.715,690946.0,13
tt0903747,Breaking Bad,4,8.954,783055.0,13
tt0903747,Breaking Bad,5,9.319,1808630.0,16
tt0388629,One Piece,1,8.107,4103219.0,1155
tt2560140,Attack on Titan,1,8.812,828449.0,25
tt2560140,Attack on Titan,2,9.092,425363.0,12
tt2560140,Attack on Titan,3,9.3,1066617.0,22
tt2560140,Attack on Titan,4,9.233,1748045.0,30
tt1520211,The Walking Dead,1,8.55,145677.0,6
tt1520211,The Walking Dead,2,8.377,241641.0,13
tt1520211,The Walking Dead,3,8.35,264377.0,16
tt1520211,The Walking Dead,4,8.256,282106.0,16
tt1520211,The Walking Dead,5,8.375,281521.0,16
tt1520211,The Walking Dead,6,8.3,301738.0,16
tt1520211,The Walking Dead,7,7.481,271275.0,16
tt1520211,The Walking Dead,8,7.113,198469.0,16
tt1520211,The Walking Dead,9,8.0,186842.0,16
tt1520211,The Walking Dead,10,7.382,223337.0,22
tt1520211,The Walking Dead,11,7.729,209346.0,24
tt4574334,Stranger Things,1,8.788,392811.0,8
tt4574334,Stranger Things,2,8.4,407770.0,9
tt4574334,Stranger Things,3,8.475,352589.0,8
tt4574334,Stranger Things,4,8.678,479639.0,9
tt4574334,Stranger Things,5,7.838,907077.0,8
tt0096697,The Simpsons,1,7.677,82868.0,13
tt0096697,The Simpsons,2,7.977,110836.0,22
tt0096697,The Simpsons,3,8.133,108607.0,24
tt0096697,The Simpsons,4,8.25,99617.0,22
tt0096697,The Simpsons,5,8.336,95106.0,22
tt0096697,The Simpsons,6,8.352,104636.0,25
tt0096697,The Simpsons,7,8.356,99300.0,25
tt0096697,The Simpsons,8,8.212,101211.0,25
tt0096697,The Simpsons,9,7.788,80344.0,25
tt0096697,The Simpsons,10,7.543,62814.0,23
tt0096697,The Simpsons,11,7.264,53782.0,22
tt0096697,The Simpsons,12,7.281,50897.0,21
tt0096697,The Simpsons,13,7.05,47192.0,22
tt0096697,The Simpsons,14,7.023,43899.0,22
tt0096697,The Simpsons,15,6.973,42158.0,22
tt0096697,The Simpsons,16,6.924,38458.0,21
tt0096697,The Simpsons,17,6.795,39992.0,22
tt0096697,The Simpsons,18,6.859,41370.0,22
tt0096697,The Simpsons,19,6.84,36940.0,20
tt0096697,The Simpsons,20,6.843,36349.0,21
tt0096697,The Simpsons,21,6.743,36449.0,23
tt0096697,The Simpsons,22,6.705,32005.0,21
tt0096697,The Simpsons,23,6.709,37755.0,22
tt0096697,The Simpsons,24,6.673,30597.0,22
tt0096697,The Simpsons,25,6.7,32569.0,22
tt0096697,The Simpsons,26,6.555,30931.0,22
tt0096697,The Simpsons,27,6.636,29464.0,22
tt0096697,The Simpsons,28,6.441,24197.0,22
tt0096697,The Simpsons,29,6.629,25219.0,21
tt0096697,The Simpsons,30,6.239,27062.0,23
tt0096697,The Simpsons,31,6.482,24577.0,22
tt0096697,The Simpsons,32,6.45,23393.0,22
tt0096697,The Simpsons,33,6.586,24196.0,22
tt0096697,The Simpsons,34,6.482,21358.0,22
tt0096697,The Simpsons,35,6.572,14007.0,18
tt0096697,The Simpsons,36,6.567,14374.0,21
tt0096697,The Simpsons,37,6.847,6280.0,15
tt0460681,Supernatural,1,8.232,199158.0,22
tt0460681,Supernatural,2,8.595,172763.0,22
tt0460681,Supernatural,3,8.506,120674.0,16
tt0460681,Supernatural,4,8.623,154253.0,22
tt0460681,Supernatural,5,8.759,150874.0,22
tt0460681,Supernatural,6,8.377,118609.0,22
tt0460681,Supernatural,7,8.335,109808.0,23
tt0460681,Supernatural,8,8.204,109898.0,23
tt0460681,Supernatural,9,8.139,105566.0,23
tt0460681,Supernatural,10,8.174,105009.0,23
tt0460681,Supernatural,11,8.504,101683.0,23
tt0460681,Supernatural,12,8.078,81064.0,23
tt0460681,Supernatural,13,8.343,86760.0,23
tt0460681,Supernatural,14,8.16,62756.0,20
tt0460681,Supernatural,15,7.995,111976.0,20
tt2085059,Black Mirror,1,8.033,218726.0,3
tt2085059,Black Mirror,2,7.85,252680.0,4
tt2085059,Black Mirror,3,8.183,379048.0,6
tt2085059,Black Mirror,4,7.8,346288.0,6
tt2085059,Black Mirror,5,6.8,147230.0,3
tt2085059,Black Mirror,6,6.82,189331.0,5
tt2085059,Black Mirror,7,7.533,184704.0,6
tt3032476,Better Call Saul,1,8.68,278968.0,10
tt3032476,Better Call Saul,2,8.5,204344.0,10
tt3032476,Better Call Saul,3,8.72,216682.0,10
tt3032476,Better Call Saul,4,8.63,193881.0,10
tt3032476,Better Call Saul,5,9.06,246818.0,10
tt3032476,Better Call Saul,6,9.1,532590.0,13
tt0108778,Friends,1,8.133,186489.0,24
tt0108778,Friends,2,8.283,161664.0,24
tt0108778,Friends,3,8.24,155776.0,25
tt0108778,Friends,4,8.321,147237.0,24
tt0108778,Friends,5,8.467,150698.0,24
tt0108778,Friends,6,8.32,142014.0,25
tt0108778,Friends,7,8.246,127911.0,24
tt0108778,Friends,8,8.283,129312.0,24
tt0108778,Friends,9,8.104,115090.0,23
tt0108778,Friends,10,8.539,106517.0,18
tt0386676,The Office,1,7.75,66655.0,6
tt0386676,The Office,2,8.277,195976.0,22
tt0386676,The Office,3,8.435,185587.0,23
tt0386676,The Office,4,8.4,110921.0,14
tt0386676,The Office,5,8.338,188425.0,26
tt0386676,The Office,6,8.038,166530.0,26
tt0386676,The Office,7,8.222,170234.0,27
tt0386676,The Office,8,7.4,127005.0,24
tt0386676,The Office,9,7.678,147263.0,23
tt0436992,Doctor Who,1,7.915,132474.0,13
tt0436992,Doctor Who,2,7.8,136749.0,14
tt0436992,Doctor Who,3,8.014,146084.0,14
tt0436992,Doctor Who,4,8.314,133759.0,14
tt0436992,Doctor Who,5,8.069,117971.0,13
tt0436992,Doctor Who,6,8.014,113576.0,14
tt0436992,Doctor Who,7,7.667,115548.0,15
tt0436992,Doctor Who,8,7.685,101417.0,13
tt0436992,Doctor Who,9,7.992,96230.0,13
tt0436992,Doctor Who,10,7.646,75122.0,13
tt0436992,Doctor Who,11,6.264,95600.0,11
tt0436992,Doctor Who,12,6.09,62351.0,10
tt0436992,Doctor Who,13,6.45,26112.0,6
tt0121955,South Park,1,7.836,67757.0,14
tt0121955,South Park,2,7.694,69949.0,18
tt0121955,South Park,3,7.871,63444.0,17
tt0121955,South Park,4,8.047,61355.0,17
tt0121955,South Park,5,8.35,65285.0,14
tt0121955,South Park,6,8.376,67834.0,17
tt0121955,South Park,7,8.327,59688.0,15
tt0121955,South Park,8,8.593,61943.0,14
tt0121955,South Park,9,8.343,56927.0,14
tt0121955,South Park,10,8.243,62623.0,14
tt0121955,South Park,11,8.529,61524.0,14
tt0121955,South Park,12,7.943,49903.0,14
tt0121955,South Park,13,8.086,50759.0,14
tt0121955,South Park,14,8.114,47303.0,14
tt0121955,South Park,15,7.664,45011.0,14
tt0121955,South Park,16,7.536,42459.0,14
tt0121955,South Park,17,7.95,33775.0,10
tt0121955,South Park,18,7.87,33224.0,10
tt0121955,South Park,19,8.04,32853.0,10
tt0121955,South Park,20,7.51,25835.0,10
tt0121955,South Park,21,7.38,27347.0,10
tt0121955,South Park,22,7.58,26452.0,10
tt0121955,South Park,23,7.63,27595.0,10
tt0121955,South Park,24,7.9,10507.0,2
tt0121955,South Park,25,7.3,15414.0,6
tt0121955,South Park,26,7.667,18535.0,6
tt0121955,South Park,27,8.02,29953.0,5
tt0121955,South Park,28,6.98,10398.0,5
tt3581920,The Last of Us,1,8.667,910092.0,9
tt3581920,The Last of Us,2,7.257,264226.0,7
