tconst,seriesTitle,episodeTitle,seasonNumber,episodeNumber,averageRating,numVotes
tt4283088,Game of Thrones,Battle of the Bastards,6,9,9.9,304629
tt4283094,Game of Thrones,The Winds of Winter,6,10,9.9,224274
tt2178784,Game of Thrones,The Rains of Castamere,3,9,9.9,179472
tt34952922,Invincible,I Thought You'd Never Shut Up,3,8,9.9,88900
tt12187040,Better Call Saul,Plan and Execution,6,7,9.9,83697
tt8084176,Mr. Robot,407 Proxy Authentication Required,4,7,9.9,45933
tt11294360,Vinland Saga,End of the Prologue,1,24,9.9,37732
tt40339350,Jujutsu Kaisen,Sendai Colony,3,12,9.9,35232
tt11028174,BoJack Horseman,The View from Halfway Down,6,15,9.9,32040
tt1204265,Avatar: The Last Airbender,"Sozin's Comet, Part 4: Avatar Aang",3,21,9.9,25762
tt9313978,Star Wars: The Clone Wars,Victory and Death,7,12,9.9,23630
tt0701989,Six Feet Under,Everyone's Waiting,5,12,9.9,18824
tt1310121,Code Geass,Re;,2,25,9.9,18244
tt6381882,Regular Show,A Regular Epic Final Battle,8,27,9.9,8798
tt2301455,Breaking Bad,Felina,5,16,9.8,286519
tt9906260,Attack on Titan,Hero,3,17,9.8,163521
tt1683088,Breaking Bad,Face Off,4,13,9.8,154057
tt3866850,Game of Thrones,Hardhome,5,8,9.8,140769
tt13857684,Attack on Titan,Assault,4,7,9.8,128074
tt9898836,Attack on Titan,Perfect Game,3,16,9.8,116987
tt17505964,Attack on Titan,Memories of the Future,4,20,9.8,102209
tt13819632,Attack on Titan,The War Hammer Titan,4,6,9.8,101567
tt13605714,Attack on Titan,Declaration of War,4,5,9.8,101110
tt17594170,Attack on Titan,"From You, 2000 Years Ago",4,21,9.8,100041
tt10023374,Attack on Titan,Midnight Sun,3,18,9.8,92675
tt11630828,Better Call Saul,Saul Gone,6,13,9.8,77138
tt10034602,Attack on Titan,That Day,3,20,9.8,73014
tt38504411,Heated Rivalry,I'll Believe in Anything,1,5,9.8,72760
tt9166696,Chernobyl,Vichnaya Pamyat,1,5,9.8,71237
tt6723680,Attack on Titan,Warrior,2,6,9.8,69898
tt13052880,The Mandalorian,Chapter 16: The Rescue,2,8,9.8,66700
tt1322867,One Piece,Nakama no Itami wa Waga Itami: Zoro Kesshi no Tatakai,1,377,9.8,65062
tt1830404,One Piece,Kejime o Tsukeru: Shirohige vs Kurohige Kaizokudan,1,485,9.8,58826
tt1453919,One Piece,Kiesareta Nakama-tachi: Mugiwara Ichimi Saigo no Hi,1,405,9.8,55792
tt12187044,Better Call Saul,Point and Shoot,6,8,9.8,54961
tt38504412,Heated Rivalry,The Cottage,1,6,9.8,46232
tt37560958,One Piece,Kuma's Life,1,1136,9.8,45713
tt21151974,Succession,Connor's Wedding,4,3,9.8,44255
tt1444421,Dexter,The Getaway,4,12,9.8,42475
tt5218332,Rick and Morty,The Ricklantis Mixup,3,7,9.8,41941
tt17521746,Demon Slayer: Kimetsu no Yaiba,Never Give Up,2,17,9.8,30924
tt10883092,Mr. Robot,"Hello, Elliot",4,13,9.8,30131
tt38896857,My Hero Academia,Izuku Midoriya: Rising,8,8,9.8,29375
tt1000252,Doctor Who,Blink,3,10,9.8,27922
tt39848781,Invincible,Give Us a Moment,4,5,9.8,27835
tt3230908,Hannibal,Mizumono,2,13,9.8,27118
tt2669746,The Office,Finale,9,23,9.8,26217
tt8266826,BoJack Horseman,Free Churro,5,6,9.8,24172
tt1833197,The Office,"Goodbye, Michael",7,22,9.8,21620
tt9313966,Star Wars: The Clone Wars,The Phantom Apprentice,7,10,9.8,20458
tt38599375,My Hero Academia,The Final Boss!!,8,3,9.8,20035
tt6542628,BoJack Horseman,Time's Arrow,4,11,9.8,18944
tt9313968,Star Wars: The Clone Wars,Shattered,7,11,9.8,18646
tt3748420,Hunter x Hunter,Anger × and × Light,1,131,9.8,18392
tt3673600,Hunter x Hunter,Zero × and × Rose,1,126,9.8,17040
tt1595996,Community,Modern Warfare,1,23,9.8,16428
tt8527962,My Hero Academia,One For All,3,11,9.8,14926
tt2060963,Community,Remedial Chaos Theory,3,4,9.8,14812
tt4128194,Person of Interest,If-Then-Else,4,11,9.8,14604
tt1204264,Avatar: The Last Airbender,"Sozin's Comet, Part 3: Into the Inferno",3,20,9.8,14545
tt4679214,Person of Interest,Return 0,5,13,9.8,13819
tt6080222,LazyTown,Robbie's Dream Team,4,12,9.8,13068
tt3767938,It's Always Sunny in Philadelphia,Charlie Work,10,4,9.8,12986
tt3827236,Hunter x Hunter,This Person × and × This Moment,1,135,9.8,12953
tt5153884,Gravity Falls,Weirdmageddon 3: Take Back the Falls,2,20,9.8,10385
tt4460256,Gravity Falls,Not What He Seems,2,11,9.8,10373
tt5340582,Star Wars: Rebels,Twilight of the Apprentice: Part 2,2,22,9.8,9518
tt39166973,One Piece,The Upheaval of an Era! The Color of the Supreme King That Leads Luffy,1,1153,9.8,9416
tt8142470,Violet Evergarden,Loved Ones Will Always Watch Over You,1,10,9.8,9220
tt28014043,Gravity Falls,Weirdmageddon 4: Somewhere in the Woods,2,21,9.8,7343
tt0707287,SpongeBob SquarePants,The Secret Box/Band Geeks,2,15,9.8,7236
tt13989180,Black Clover,Black Oath,4,13,9.8,7133
tt8164820,Adventure Time,Come Along With Me,10,13,9.8,6185
tt4792756,Your Lie in April,Spring Breeze,1,22,9.8,5649
tt31491044,Bluey,The Sign,3,49,9.8,5468
tt21034246,Kaguya-sama: Love is War,"Dual Confessions, Part 2/The Shuchiin Afterparty",3,13,9.8,5311
tt5443910,Gintama,Sworn Enemy,4,40,9.8,5082
tt2301449,Breaking Bad,To'hajiilee,5,13,9.7,123805
tt5775846,Game of Thrones,The Spoils of War,7,4,9.7,121880
tt4283028,Game of Thrones,The Door,6,5,9.7,105652
tt27715317,One Piece,The Three-Sword Style of the Supreme King! Zoro vs. King,1,1062,9.7,102327
tt17277218,Attack on Titan,Two Brothers,4,19,9.7,95007
tt3060910,Game of Thrones,The Laws of Gods and Men,4,6,9.7,88859
tt19811660,One Piece,Straw Hat Luffy! The Man Who Will Become the King of the Pirates!,1,1015,9.7,88003
tt3060782,Game of Thrones,The Mountain and the Viper,4,8,9.7,86803
tt2832378,Game of Thrones,The Lion and the Rose,4,2,9.7,86591
tt2084342,Game of Thrones,Blackwater,2,9,9.7,83142
tt1683086,Breaking Bad,Crawl Space,4,11,9.7,81426
tt3060860,Game of Thrones,The Children,4,10,9.7,77462
tt1615553,Breaking Bad,Full Measure,3,13,9.7,73657
tt1821284,One Piece,Kotae o Sagashite: Hiken Ace Senjou ni Shisu,1,483,9.7,59576
tt36351486,Dexter: Resurrection,Touched by an Ángel,1,9,9.7,57660
tt14132418,Attack on Titan,Savagery,4,14,9.7,54050
tt1824873,One Piece,Kaigun Honbu Houkai! Shirohige Kotobanaki Ikari!,1,484,9.7,52865
