tconst,primaryTitle,titleType,startYear,genres,averageRating,numVotes
tt0903747,Breaking Bad,tvSeries,2008,"Crime,Drama,Thriller",9.5,2582507
tt0185906,Band of Brothers,tvMiniSeries,2001,"Action,Drama,History",9.4,589729
tt0795176,Planet Earth,tvMiniSeries,2006,"Documentary,Family",9.4,234604
tt5491994,Planet Earth II,tvMiniSeries,2016,"Documentary,Family",9.4,174416
tt0111161,The Shawshank Redemption,movie,1994,Drama,9.3,3167580
tt7366338,Chernobyl,tvMiniSeries,2019,"Drama,History,Thriller",9.3,1022428
tt0417299,Avatar: The Last Airbender,tvSeries,2005,"Action,Adventure,Animation",9.3,435160
tt0306414,The Wire,tvSeries,2002,"Crime,Drama,Thriller",9.3,427800
tt6769208,Blue Planet II,tvMiniSeries,2017,"Documentary,Family",9.3,57297
tt0081846,Cosmos,tvMiniSeries,1980,Documentary,9.3,53108
tt0944947,Game of Thrones,tvSeries,2011,"Action,Adventure,Drama",9.2,2592315
tt0068646,The Godfather,movie,1972,"Crime,Drama",9.2,2212543
tt0141842,The Sopranos,tvSeries,1999,"Crime,Drama",9.2,572118
tt12392504,Scam 1992: The Harshad Mehta Story,tvMiniSeries,2020,"Biography,Crime,Drama",9.2,172166
tt2395695,Cosmos: A Spacetime Odyssey,tvMiniSeries,2014,"Documentary,Family",9.2,139716
tt30263074,Sapne Vs Everyone,tvSeries,2023,Drama,9.2,75175
tt9253866,Our Planet,tvSeries,2019,"Documentary,Family",9.2,62452
tt0468569,The Dark Knight,movie,2008,"Action,Crime,Drama",9.1,3145194
tt2560140,Attack on Titan,tvSeries,2013,"Action,Adventure,Animation",9.1,699798
tt14392248,Aspirants,tvSeries,2021,Drama,9.1,317912
tt1355642,Fullmetal Alchemist: Brotherhood,tvSeries,2009,"Action,Adventure,Animation",9.1,244629
tt4742876,TVF Pitchers,tvSeries,2015,"Comedy,Drama",9.1,79470
tt28227737,Sandeep Bhaiya,tvSeries,2023,Drama,9.1,77029
tt5622316,The Chosen,tvSeries,2017,"Drama,History",9.1,68390
tt1533395,Life,tvMiniSeries,2009,Documentary,9.1,50278
tt0167260,The Lord of the Rings: The Return of the King,movie,2003,"Adventure,Drama,Fantasy",9.0,2151891
tt0108052,Schindler's List,movie,1993,"Biography,Drama,History",9.0,1577400
tt0071562,The Godfather Part II,movie,1974,"Crime,Drama",9.0,1486653
tt1475582,Sherlock,tvSeries,2010,"Crime,Drama,Mystery",9.0,1082817
tt0050083,12 Angry Men,movie,1957,"Crime,Drama",9.0,977228
tt0386676,The Office,tvSeries,2005,Comedy,9.0,824422
tt3032476,Better Call Saul,tvSeries,2015,"Crime,Drama",9.0,820983
tt2861424,Rick and Morty,tvSeries,2013,"Adventure,Animation,Comedy",9.0,689191
tt11126994,Arcane,tvSeries,2021,"Action,Adventure,Animation",9.0,437868
tt0388629,One Piece,tvSeries,1999,"Action,Adventure,Animation",9.0,346485
tt2098220,Hunter x Hunter,tvSeries,2011,"Action,Adventure,Animation",9.0,190328
tt8420184,The Last Dance,tvMiniSeries,2020,"Biography,Documentary,History",9.0,179016
tt0103359,Batman: The Animated Series,tvSeries,1992,"Action,Adventure,Animation",9.0,136179
tt33043892,Dexter: Resurrection,tvSeries,2025,"Crime,Drama,Thriller",9.0,135476
tt12004706,Panchayat,tvSeries,2020,"Comedy,Drama",9.0,116286
tt0052520,The Twilight Zone,tvSeries,1959,"Drama,Fantasy,Horror",9.0,107911
tt1831164,Leyla and Mecnun,tvSeries,2011,"Adventure,Comedy,Drama",9.0,103562
tt9432978,Kota Factory,tvSeries,2019,"Comedy,Drama",9.0,91662
tt10541088,Clarkson's Farm,tvSeries,2021,"Comedy,Documentary,Reality-TV",9.0,84346
tt14986406,Bleach: Thousand-Year Blood War,tvSeries,2022,"Action,Adventure,Animation",9.0,74075
tt0081912,Only Fools and Horses,tvSeries,1981,Comedy,9.0,65814
tt0296310,The Blue Planet,tvSeries,2001,"Documentary,Family",9.0,50696
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,2001,"Adventure,Drama,Fantasy",8.9,2193178
tt0877057,Death Note,tvSeries,2006,"Animation,Crime,Drama",8.9,472240
tt0098904,Seinfeld,tvSeries,1989,Comedy,8.9,382560
tt0303461,Firefly,tvSeries,2002,"Adventure,Drama,Sci-Fi",8.9,300311
tt1865718,Gravity Falls,tvSeries,2012,"Adventure,Animation,Comedy",8.9,175417
tt0213338,Cowboy Bebop,tvSeries,1998,"Action,Adventure,Animation",8.9,167469
tt31938062,The Pitt,tvSeries,2025,Drama,8.9,122666
tt0200276,The West Wing,tvSeries,1999,Drama,8.9,98645
tt22248376,Frieren: Beyond Journey's End,tvSeries,2023,"Adventure,Animation,Comedy",8.9,69327
tt7920978,Persona,tvSeries,2018,"Crime,Drama,Mystery",8.9,56359
tt1375666,Inception,movie,2010,"Action,Adventure,Sci-Fi",8.8,2795926
tt0137523,Fight Club,movie,1999,"Crime,Drama,Thriller",8.8,2584761
tt0109830,Forrest Gump,movie,1994,"Drama,Romance",8.8,2479652
tt0110912,Pulp Fiction,movie,1994,"Crime,Drama",8.8,2420786
tt0167261,The Lord of the Rings: The Two Towers,movie,2002,"Adventure,Drama,Fantasy",8.8,1944780
tt0108778,Friends,tvSeries,1994,"Comedy,Romance",8.8,1186092
tt0060196,"The Good, the Bad and the Ugly",movie,1966,"Adventure,Drama,Western",8.8,887148
tt2356777,True Detective,tvSeries,2014,"Crime,Drama,Mystery",8.8,748517
tt2802850,Fargo,tvSeries,2014,"Crime,Drama,Thriller",8.8,465947
tt7660850,Succession,tvSeries,2018,"Comedy,Drama",8.8,351002
tt0472954,It's Always Sunny in Philadelphia,tvSeries,2005,Comedy,8.8,280171
tt3398228,BoJack Horseman,tvSeries,2014,"Animation,Comedy,Drama",8.8,229824
tt27497448,A Knight of the Seven Kingdoms,tvSeries,2026,"Action,Adventure,Drama",8.8,207340
tt0214341,Dragon Ball Z,tvSeries,1996,"Action,Adventure,Animation",8.8,175633
tt0264235,Curb Your Enthusiasm,tvSeries,2000,Comedy,8.8,165598
tt0193676,Freaks and Geeks,tvSeries,1999,"Comedy,Drama",8.8,164019
tt7137906,When They See Us,tvMiniSeries,2019,"Biography,Crime,Drama",8.8,157610
tt10233448,Vinland Saga,tvSeries,2019,"Action,Adventure,Animation",8.8,132014
tt14650074,Dhindora,tvSeries,2021,"Comedy,Drama",8.8,126237
tt0072500,Fawlty Towers,tvSeries,1975,Comedy,8.8,110962
tt3530232,Last Week Tonight with John Oliver,tvSeries,2014,"Comedy,News,Talk-Show",8.8,104914
tt0121220,Dragon Ball Z,tvSeries,1989,"Action,Adventure,Animation",8.8,103027
tt0112130,Pride and Prejudice,tvMiniSeries,1995,"Drama,Romance",8.8,102746
tt35495073,Heated Rivalry,tvSeries,2025,"Drama,Romance,Sport",8.8,96651
tt1910272,Steins;Gate,tvSeries,2011,"Animation,Comedy,Drama",8.8,91095
tt0063929,Monty Python's Flying Circus,tvSeries,1969,Comedy,8.8,87051
tt0353049,Chappelle's Show,tvSeries,2003,"Comedy,Music",8.8,78530
tt0096548,Blackadder Goes Forth,tvSeries,1989,"Comedy,War",8.8,64899
tt0816692,Interstellar,movie,2014,"Adventure,Drama,Sci-Fi",8.7,2495493
tt0133093,The Matrix,movie,1999,"Action,Sci-Fi",8.7,2233442
tt0080684,Star Wars: Episode V - The Empire Strikes Back,movie,1980,"Action,Adventure,Fantasy",8.7,1496439
tt0099685,GoodFellas,movie,1990,"Biography,Crime,Drama",8.7,1381922
tt2442560,Peaky Blinders,tvSeries,2013,"Crime,Drama",8.7,762282
tt2085059,Black Mirror,tvSeries,2011,"Crime,Drama,Mystery",8.7,732374
tt0412142,House,tvSeries,2004,Drama,8.7,588904
tt5753856,Dark,tvSeries,2017,"Crime,Drama,Mystery",8.7,537932
tt2707408,Narcos,tvSeries,2015,"Biography,Crime,Drama",8.7,524122
tt0121955,South Park,tvSeries,1997,"Animation,Comedy",8.7,442107
tt10986410,Ted Lasso,tvSeries,2020,"Comedy,Drama,Sport",8.7,436859
tt6741278,Invincible,tvSeries,2021,"Action,Adventure,Animation",8.7,306810
tt0804503,Mad Men,tvSeries,2007,Drama,8.7,287938
tt1606375,Downton Abbey,tvSeries,2010,"Drama,Romance",8.7,244998
tt0098936,Twin Peaks,tvSeries,1990,"Crime,Drama,Mystery",8.7,244358
tt5687612,Fleabag,tvSeries,2016,"Comedy,Drama",8.7,243392
tt0988824,Naruto: Shippuden,tvSeries,2007,"Action,Adventure,Animation",8.7,218834
tt0384766,Rome,tvSeries,2005,"Action,Drama,Romance",8.7,202895
tt0407362,Battlestar Galactica,tvSeries,2004,"Action,Adventure,Drama",8.7,186150
tt5555260,This Is Us,tvSeries,2016,"Comedy,Drama,Romance",8.7,173395
tt23849204,12th Fail,movie,2023,"Biography,Drama",8.7,168845
tt0248654,Six Feet Under,tvSeries,2001,"Comedy,Drama",8.7,166860
tt0092455,Star Trek: The Next Generation,tvSeries,1987,"Action,Adventure,Drama",8.7,148981
tt1628033,Top Gear,tvSeries,2002,"Adventure,Comedy,Sport",8.7,136184
tt0118421,Oz,tvSeries,1997,"Crime,Drama,Thriller",8.7,116310
tt9544034,The Family Man,tvSeries,2019,"Action,Comedy,Crime",8.7,111869
tt13309742,Blue Eye Samurai,tvSeries,2023,"Action,Adventure,Animation",8.7,102269
tt0994314,Code Geass,tvSeries,2006,"Action,Animation,Drama",8.7,101972
tt0286486,The Shield,tvSeries,2002,"Crime,Drama,Thriller",8.7,96956
tt5712554,The Grand Tour,tvSeries,2016,"Adventure,Comedy,Sport",8.7,94251
tt3718778,Over the Garden Wall,tvMiniSeries,2014,"Adventure,Animation,Comedy",8.7,88183
tt2303687,Line of Duty,tvSeries,2012,"Crime,Drama,Mystery",8.7,80116
tt0758745,Friday Night Lights,tvSeries,2006,"Drama,Sport",8.7,78789
tt0318871,Berserk,tvSeries,1997,"Action,Adventure,Animation",8.7,76721
tt0387764,Peep Show,tvSeries,2003,Comedy,8.7,73322
tt0434706,Monster,tvSeries,2004,"Animation,Crime,Drama",8.7,68299
tt10850932,Crash Landing on You,tvMiniSeries,2019,"Adventure,Comedy,Drama",8.7,57419
tt3398540,Haikyu!!,tvSeries,2014,"Animation,Comedy,Drama",8.7,52233
tt16026746,X-Men '97,tvSeries,2024,"Action,Adventure,Animation",8.7,51833
tt0114369,Seven,movie,1995,"Crime,Drama,Mystery",8.6,2005829
tt0102926,The Silence of the Lambs,movie,1991,"Crime,Drama,Horror",8.6,1710933
tt4574334,Stranger Things,tvSeries,2016,"Drama,Fantasy,Horror",8.6,1681141
tt0120815,Saving Private Ryan,movie,1998,"Drama,War",8.6,1628351
tt0076759,Star Wars: Episode IV - A New Hope,movie,1977,"Action,Adventure,Fantasy",8.6,1561643
tt0120689,The Green Mile,movie,1999,"Crime,Drama,Fantasy",8.6,1551296
tt0103064,Terminator 2: Judgment Day,movie,1991,"Action,Adventure,Sci-Fi",8.6,1277358
tt0073486,One Flew Over the Cuckoo's Nest,movie,1975,Drama,8.6,1152362
tt0245429,Spirited Away,movie,2001,"Adventure,Animation,Family",8.6,959234
tt0773262,Dexter,tvSeries,2006,"Crime,Drama,Mystery",8.6,924174
tt0317248,City of God,movie,2002,"Crime,Drama",8.6,866511
tt1190634,The Boys,tvSeries,2019,"Action,Comedy,Crime",8.6,841967
tt0118799,Life Is Beautiful,movie,1997,"Comedy,Drama,Romance",8.6,808156
tt8111088,The Mandalorian,tvSeries,2019,"Action,Adventure,Fantasy",8.6,649452
tt1856010,House of Cards,tvSeries,2013,"Drama,Thriller",8.6,557636
tt0038650,It's a Wonderful Life,movie,1946,"Drama,Family,Fantasy",8.6,552615
tt3322312,Daredevil,tvSeries,2015,"Action,Crime,Drama",8.6,525486
tt0096697,The Simpsons,tvSeries,1989,"Animation,Comedy",8.6,466666
tt0047478,Seven Samurai,movie,1954,"Action,Drama",8.6,400146
tt5290382,Mindhunter,tvSeries,2017,"Crime,Drama,Mystery",8.6,392653
tt11280740,Severance,tvSeries,2022,"Drama,Mystery,Sci-Fi",8.6,381157
tt0367279,Arrested Development,tvSeries,2003,Comedy,8.6,342274
tt1266020,Parks and Recreation,tvSeries,2009,Comedy,8.6,313069
