decade,rank,tconst,primaryTitle,titleType,startYear,genres,averageRating,numVotes
1910,1,tt0006864,Intolerance,movie,1916,"Drama,History",7.6,18002
1910,2,tt0009968,Broken Blossoms,movie,1919,"Drama,Romance",7.2,11787
1910,3,tt0004972,The Birth of a Nation,movie,1915,"Drama,War",6.1,28316
1920,1,tt0019760,Man with a Movie Camera,movie,1929,Documentary,8.3,30417
1920,2,tt0017136,Metropolis,movie,1927,"Drama,Sci-Fi",8.2,201455
1920,3,tt0012349,The Kid,movie,1921,"Comedy,Drama,Family",8.2,145816
1920,4,tt0015864,The Gold Rush,movie,1925,"Adventure,Comedy,Drama",8.1,128253
1920,5,tt0017925,The General,movie,1926,"Action,Adventure,Comedy",8.1,105656
1920,6,tt0019254,The Passion of Joan of Arc,movie,1928,"Biography,Drama,History",8.1,68336
1920,7,tt0015324,Sherlock Jr.,movie,1924,"Action,Comedy,Romance",8.1,65899
1920,8,tt0018455,Sunrise,movie,1927,"Drama,Romance",8.1,56752
1920,9,tt0018773,The Circus,movie,1928,"Comedy,Family,Romance",8.1,38610
1920,10,tt0014429,Safety Last!,movie,1923,"Action,Comedy,Romance",8.1,24873
1930,1,tt0027977,Modern Times,movie,1936,"Comedy,Drama,Romance",8.5,285465
1930,2,tt0021749,City Lights,movie,1931,"Comedy,Drama,Romance",8.5,216598
1930,3,tt0022100,M,movie,1931,"Crime,Mystery,Thriller",8.3,182960
1930,4,tt0031381,Gone with the Wind,movie,1939,"Drama,Romance,War",8.2,356344
1930,5,tt0023042,I Am a Fugitive from a Chain Gang,movie,1932,"Crime,Drama,Film-Noir",8.2,15670
1930,6,tt0032138,The Wizard of Oz,movie,1939,"Adventure,Family,Fantasy",8.1,468118
1930,7,tt0031679,Mr. Smith Goes to Washington,movie,1939,"Comedy,Drama",8.1,129569
1930,8,tt0025316,It Happened One Night,movie,1934,"Comedy,Romance",8.1,119870
1930,9,tt0020629,All Quiet on the Western Front,movie,1930,"Drama,War",8.1,72171
1930,10,tt0029192,Make Way for Tomorrow,movie,1937,"Drama,Romance",8.1,10651
1940,1,tt0038650,It's a Wonderful Life,movie,1946,"Drama,Family,Fantasy",8.6,554686
1940,2,tt0034583,Casablanca,movie,1942,"Drama,Romance,War",8.5,655652
1940,3,tt0032553,The Great Dictator,movie,1940,"Comedy,Drama,War",8.4,258975
1940,4,tt0036775,Double Indemnity,movie,1944,"Crime,Drama,Film-Noir",8.3,181589
1940,5,tt0037674,Children of Paradise,movie,1945,"Drama,Romance",8.3,22537
1940,6,tt0033467,Citizen Kane,movie,1941,"Drama,Mystery",8.2,493522
1940,7,tt0040522,Bicycle Thieves,movie,1948,Drama,8.2,192161
1940,8,tt0040897,The Treasure of the Sierra Madre,movie,1948,"Adventure,Drama,Western",8.2,141546
1940,9,tt0041154,Late Spring,movie,1949,"Comedy,Drama",8.2,21613
1940,10,tt0041959,The Third Man,movie,1949,"Drama,Film-Noir,Mystery",8.1,195692
1950,1,tt0050083,12 Angry Men,movie,1957,"Crime,Drama",9.0,985175
1950,2,tt0052520,The Twilight Zone,tvSeries,1959,"Drama,Fantasy,Horror",9.0,108871
1950,3,tt0047478,Seven Samurai,movie,1954,"Action,Drama",8.6,402113
1950,4,tt0043208,I Love Lucy,tvSeries,1951,Comedy,8.5,30938
1950,5,tt0047708,Alfred Hitchcock Presents,tvSeries,1955,"Crime,Drama,Mystery",8.5,20677
1950,6,tt0053114,The Human Condition I: No Greater Love,movie,1959,"Drama,History,War",8.5,11289
1950,7,tt0047396,Rear Window,movie,1954,"Drama,Mystery,Thriller",8.4,569232
1950,8,tt0043014,Sunset Boulevard,movie,1950,"Drama,Film-Noir",8.4,261452
1950,9,tt0050825,Paths of Glory,movie,1957,"Drama,War",8.4,239106
1950,10,tt0051201,Witness for the Prosecution,movie,1957,"Crime,Drama,Mystery",8.4,162377
1960,1,tt0060196,"The Good, the Bad and the Ugly",movie,1966,"Adventure,Drama,Western",8.8,891569
1960,2,tt0063929,Monty Python's Flying Circus,tvSeries,1969,Comedy,8.8,87356
1960,3,tt0062588,Mister Rogers' Neighborhood,tvSeries,1968,"Family,Fantasy,Music",8.8,10520
1960,4,tt0056058,Harakiri,movie,1962,"Drama,Mystery",8.6,91469
1960,5,tt0054215,Psycho,movie,1960,"Drama,Horror,Mystery",8.5,786190
1960,6,tt0064116,Once Upon a Time in the West,movie,1968,"Drama,Western",8.5,384514
1960,7,tt0053488,The Bugs Bunny Show,tvSeries,1960,"Animation,Comedy",8.5,37913
1960,8,tt0054407,Le trou,movie,1960,"Crime,Drama,Thriller",8.5,23639
1960,9,tt0054533,The Dick Van Dyke Show,tvSeries,1961,"Comedy,Family",8.5,13228
1960,10,tt0062550,The Bugs Bunny/Road Runner Hour,tvSeries,1968,"Animation,Comedy",8.5,10428
1970,1,tt0068646,The Godfather,movie,1972,"Crime,Drama",9.2,2228771
1970,2,tt0071075,The World at War,tvSeries,1973,"Documentary,History,War",9.2,37904
1970,3,tt0252487,The Chaos Class,movie,1975,Comedy,9.1,46270
1970,4,tt0071562,The Godfather Part II,movie,1974,"Crime,Drama",9.0,1496364
1970,5,tt0253828,Tosun Pasha,movie,1976,"Comedy,History",8.9,26417
1970,6,tt0075143,The Message,movie,1976,"Biography,Drama,History",8.9,11988
1970,7,tt0072500,Fawlty Towers,tvSeries,1975,Comedy,8.8,111498
1970,8,tt0253779,The Foster Brothers,movie,1976,"Comedy,History",8.8,22572
1970,9,tt0074006,"I, Claudius",tvMiniSeries,1976,"Biography,Drama,History",8.8,22222
1970,10,tt0252490,The Chaos Class Is Waking Up,movie,1976,Comedy,8.7,22440
1980,1,tt0081846,Cosmos,tvMiniSeries,1980,Documentary,9.3,53350
1980,2,tt0081912,Only Fools and Horses,tvSeries,1981,Comedy,9.0,66199
1980,3,tt0268093,Ramayan,tvSeries,1987,"Adventure,Drama,Family",9.0,27750
1980,4,tt0098904,Seinfeld,tvSeries,1989,Comedy,8.9,384894
1980,5,tt0092337,Dekalog,tvMiniSeries,1989,Drama,8.9,34920
1980,6,tt0158417,Mahabharat,tvSeries,1988,"Action,Adventure,Drama",8.9,27428
1980,7,tt0121220,Dragon Ball Z,tvSeries,1989,"Action,Adventure,Animation",8.8,103830
1980,8,tt0096548,Blackadder Goes Forth,tvSeries,1989,"Comedy,War",8.8,65197
1980,9,tt0081834,Das Boot,tvMiniSeries,1985,"Drama,War",8.8,40207
1980,10,tt0084302,The Marathon Family,movie,1982,"Comedy,Drama",8.8,18201
1990,1,tt0111161,The Shawshank Redemption,movie,1994,Drama,9.3,3192759
1990,2,tt0141842,The Sopranos,tvSeries,1999,"Crime,Drama",9.2,581191
1990,3,tt0259534,Ramayana: The Legend of Prince Rama,movie,1993,"Action,Adventure,Animation",9.1,17773
1990,4,tt0111893,The Beatles Anthology,tvMiniSeries,1995,"Documentary,Music",9.1,10898
1990,5,tt0108052,Schindler's List,movie,1993,"Biography,Drama,History",9.0,1586624
1990,6,tt0388629,One Piece,tvSeries,1999,"Action,Adventure,Animation",9.0,354961
1990,7,tt0103359,Batman: The Animated Series,tvSeries,1992,"Action,Adventure,Animation",9.0,137545
1990,8,tt0098769,The Civil War,tvMiniSeries,1990,"Documentary,History,War",9.0,26324
1990,9,tt5851616,Tash Ma Tash,tvSeries,1993,"Comedy,Drama",9.0,13087
1990,10,tt0213338,Cowboy Bebop,tvSeries,1998,"Action,Adventure,Animation",8.9,169721
2000,1,tt0903747,Breaking Bad,tvSeries,2008,"Crime,Drama,Thriller",9.5,2623001
2000,2,tt0185906,Band of Brothers,tvMiniSeries,2001,"Action,Drama,History",9.4,595292
2000,3,tt0795176,Planet Earth,tvMiniSeries,2006,"Documentary,Family",9.4,235420
2000,4,tt0417299,Avatar: The Last Airbender,tvSeries,2005,"Action,Adventure,Animation",9.3,443199
2000,5,tt0306414,The Wire,tvSeries,2002,"Crime,Drama,Thriller",9.3,431962
